,Student ID,Course,Term Code,Earned Academic Credit,Final Letter Grade Group,Final Letter Grade,GPA Quality Points
1,8398786,BUS104,202010,Y,B,B,3
2,8398786,CSE148,202120,Y,A,A-,3.7
3,8398786,ECO201,202020,Y,C,C+,2.3
4,8398786,FIN301,202210,Y,D,D,1
5,8398786,NA,202220,Y,A,A-,3.7
6,8398786,ISA125,202210,Y,B,B,3
7,8398786,ISA225,202220,Y,B,B-,2.7
8,8398786,ISA235,202220,Y,B,B-,2.7
9,8398786,MGT291,202220,Y,B,B,3
10,8398786,MTH151,202010,Y,D,D-,0.7
11,8383906,ACC221,201810,Y,A,A,4
12,8383906,BUS104,201820,Y,A,A-,3.7
13,8383906,CSE148,201810,Y,B,B+,3.3
14,8383906,ECO201,201820,Y,A,A,4
15,8383906,FIN301,201920,Y,B,B+,3.3
16,8383906,ISA225,202030,Y,A,A,4
17,8383906,ISA235,201910,Y,B,B,3
18,8383906,MGT291,201920,Y,A,A-,3.7
19,8371170,BUS104,202220,Y,B,B-,2.7
20,8371170,CSE148,202210,Y,B,B-,2.7
21,8371170,ECO201,202120,Y,C,C,2
22,8371170,FIN301,202215,Y,C,C,2
23,8371170,ISA235,202215,Y,A,A-,3.7
24,8371170,MGT291,202210,Y,B,B,3
25,8371170,MTH151,202120,Y,C,C+,2.3
26,8354519,ACC221,201910,Y,B,B+,3.3
27,8354519,BUS104,201910,Y,A,A-,3.7
28,8354519,CSE148,201810,Y,A,A,4
29,8354519,ECO201,201820,Y,A,A,4
30,8354519,FIN301,202030,Y,A,A-,3.7
31,8354519,ISA225,202010,Y,A,A-,3.7
32,8354519,ISA235,201920,Y,B,B+,3.3
33,8354519,MGT291,201920,Y,A,A-,3.7
34,8354519,MTH151,201810,Y,A,A+,4
35,8351528,ACC221,202120,Y,B,B-,2.7
36,8351528,BUS104,202010,Y,A,A-,3.7
37,8351528,CSE148,202020,Y,A,A,4
38,8351528,ECO201,202120,Y,B,B,3
39,8351528,FIN301,202215,Y,C,C+,2.3
40,8351528,ISA225,202110,Y,B,B+,3.3
41,8351528,ISA235,202120,Y,A,A-,3.7
42,8351528,MGT291,202110,Y,A,A+,4
43,8349622,ACC221,202010,Y,A,A,4
44,8349622,BUS104,202010,Y,A,A-,3.7
45,8349622,CSE148,202020,Y,A,A,4
46,8349622,ECO201,202110,Y,A,A,4
47,8349622,FIN301,202210,Y,A,A-,3.7
48,8349622,ISA125,202020,Y,A,A,4
49,8349622,ISA225,202110,Y,A,A+,4
50,8349622,ISA235,202120,Y,A,A,4
51,8349622,MGT291,202120,Y,A,A+,4
52,8338287,ACC221,201920,Y,A,A-,3.7
53,8338287,BUS104,201920,Y,A,A,4
54,8338287,CSE148,201910,Y,A,A,4
55,8338287,ECO201,202010,Y,B,B+,3.3
56,8338287,FIN301,202120,Y,A,A,4
57,8338287,ISA225,202010,Y,A,A,4
58,8338287,ISA235,202020,Y,B,B+,3.3
59,8338287,MGT291,202115,Y,B,B+,3.3
60,8338287,MTH151,201910,Y,A,A+,4
61,8320803,ACC221,201910,Y,A,A+,4
62,8320803,BUS104,201910,Y,A,A,4
63,8320803,CSE148,201920,Y,A,A,4
64,8320803,FIN301,202110,Y,A,A+,4
65,8320803,ISA225,201920,Y,A,A+,4
66,8320803,ISA235,202010,Y,A,A,4
67,8320803,MGT291,202020,Y,A,A,4
68,8318760,ACC221,201910,Y,A,A,4
69,8318760,BUS104,201910,Y,A,A,4
70,8318760,CSE148,201920,Y,A,A,4
71,8318760,ECO201,201915,Y,A,A+,4
72,8318760,FIN301,201930,Y,A,A+,4
73,8318760,ISA225,202010,Y,A,A+,4
74,8318760,MGT291,201920,Y,A,A,4
75,8311855,ACC221,202010,Y,A,A-,3.7
76,8311855,BUS104,202020,Y,B,B,3
77,8311855,CSE148,202010,Y,B,B,3
78,8311855,FIN301,202120,Y,A,A,4
79,8311855,ISA125,202110,Y,A,A-,3.7
80,8311855,ISA225,202120,Y,B,B+,3.3
81,8311855,ISA235,202110,Y,A,A-,3.7
82,8311855,MGT291,202120,Y,A,A,4
83,8309864,ECO201,202010,N,F,F,0
84,8309864,MTH151,201910,Y,C,C,2
85,8308960,ACC221,202110,Y,B,B,3
86,8308960,BUS104,202110,Y,A,A,4
87,8308960,CSE148,202120,Y,A,A,4
88,8308960,ECO201,202210,Y,A,A,4
89,8308960,FIN301,202320,Y,A,A,4
90,8308960,ISA125,202210,Y,A,A+,4
91,8308960,ISA225,202220,Y,A,A,4
92,8308960,ISA235,202210,Y,A,A,4
93,8308960,MGT291,202210,Y,A,A-,3.7
94,8308960,MGT295,202320,Y,A,A-,3.7
95,8308960,MTH151,202120,Y,A,A,4
96,8308737,ACC221,202210,Y,A,A-,3.7
97,8308737,BUS104,202110,Y,B,B+,3.3
98,8308737,CSE148,202120,Y,A,A,4
99,8308737,ECO201,202120,Y,B,B+,3.3
100,8308737,FIN301,202220,Y,B,B,3
101,8308737,ISA125,202120,Y,A,A-,3.7
102,8308737,ISA225,202220,Y,A,A,4
103,8308737,ISA235,202220,Y,A,A-,3.7
104,8308737,MGT291,202215,Y,A,A,4
105,8305795,ACC221,202110,Y,A,A,4
106,8305795,BUS104,202120,Y,A,A+,4
107,8305795,CSE148,202110,Y,A,A+,4
108,8305795,ISA125,202210,Y,A,A,4
109,8305795,ISA225,202310,Y,A,A+,4
110,8305795,ISA235,202210,Y,A,A,4
111,8305795,MGT291,202220,Y,A,A,4
112,8305795,MGT295,202320,Y,A,A,4
113,8305511,ACC221,202110,Y,B,B-,2.7
114,8305511,BUS104,202010,Y,B,B,3
115,8305511,CSE148,202020,Y,A,A-,3.7
116,8305511,ECO201,202020,Y,B,B-,2.7
117,8305511,FIN301,202220,Y,A,A-,3.7
118,8305511,ISA225,202230,Y,B,B,3
119,8305511,MGT291,202210,Y,A,A,4
120,8305511,MGT295,202310,Y,B,B,3
121,8305468,ACC221,202020,Y,A,A,4
122,8305468,BUS104,202110,Y,A,A+,4
123,8305468,FIN301,202120,Y,A,A,4
124,8305468,ISA225,202110,Y,A,A+,4
125,8305468,ISA235,202115,Y,A,A+,4
126,8305468,MGT291,202120,Y,A,A,4
127,8305451,ECO201,202020,Y,C,C-,1.7
128,8305451,ISA225,202220,Y,C,C,2
129,8305451,MTH151,202010,Y,C,C,2
130,8305198,ACC221,202120,Y,A,A,4
131,8305198,BUS104,202110,Y,A,A+,4
132,8305198,CSE148,202120,Y,A,A,4
133,8305198,ECO201,202110,Y,A,A-,3.7
134,8305198,FIN301,202220,Y,A,A,4
135,8305198,ISA225,202120,Y,A,A,4
136,8305198,ISA235,202210,Y,A,A-,3.7
137,8305198,MGT291,202220,Y,A,A+,4
138,8305176,BUS104,202020,Y,A,A-,3.7
139,8305176,CSE148,202010,Y,A,A,4
140,8305176,FIN301,202210,Y,B,B,3
141,8305176,ISA225,202310,Y,C,C+,2.3
142,8305176,ISA235,202210,Y,B,B,3
143,8305176,MGT291,202120,Y,B,B+,3.3
144,8305176,MTH151,202030,Y,C,C+,2.3
145,8304959,ACC221,202210,Y,A,A-,3.7
146,8304959,BUS104,202210,Y,A,A-,3.7
147,8304959,CSE148,202220,Y,A,A,4
148,8304959,FIN301,202320,Y,B,B,3
149,8304959,ISA225,202220,Y,A,A,4
150,8304959,ISA235,202310,Y,A,A-,3.7
151,8304284,ACC221,202110,Y,B,B,3
152,8304284,CSE148,202010,Y,C,C+,2.3
153,8304284,FIN301,202220,Y,C,C,2
154,8304284,ISA225,202210,Y,A,A-,3.7
155,8304284,ISA235,202120,Y,A,A,4
156,8304284,MGT291,202210,Y,A,A-,3.7
157,8304284,MGT295,202310,Y,A,A,4
158,8296218,ACC221,202010,Y,A,A,4
159,8296218,BUS104,202010,Y,A,A,4
160,8296218,CSE148,202015,Y,A,A,4
161,8296218,FIN301,202320,Y,B,B+,3.3
162,8296218,ISA225,202110,Y,A,A,4
163,8296218,ISA235,202120,Y,A,A,4
164,8296218,MGT291,202120,Y,A,A,4
165,8296218,MGT295,202310,Y,A,A,4
166,8296196,BUS104,202010,Y,B,B+,3.3
167,8296196,FIN301,202120,Y,A,A,4
168,8296196,ISA125,202110,Y,C,C+,2.3
169,8296196,ISA225,202120,Y,B,B-,2.7
170,8296196,ISA235,202120,Y,A,A-,3.7
171,8296196,MGT291,202130,Y,A,A-,3.7
172,8296196,MGT295,202320,Y,B,B,3
173,8296091,BUS104,202010,Y,B,B,3
174,8296091,FIN301,202220,Y,B,B-,2.7
175,8296091,ISA225,202210,Y,C,C,2
176,8296091,ISA235,202120,Y,B,B,3
177,8296091,MGT291,202215,Y,B,B,3
178,8296091,MGT295,202310,Y,A,A-,3.7
179,8296091,MTH151,202120,Y,B,B,3
180,8296021,BUS104,202010,Y,A,A-,3.7
181,8296021,CSE148,202020,Y,A,A,4
182,8296021,FIN301,202120,Y,A,A,4
183,8296021,ISA225,202020,Y,A,A,4
184,8296021,ISA235,202110,Y,A,A,4
185,8296021,MGT291,202020,Y,A,A-,3.7
186,8296019,CSE148,202010,Y,B,B+,3.3
187,8296019,ECO201,202120,Y,C,C,2
188,8296019,FIN301,202215,Y,B,B-,2.7
189,8296019,ISA225,202120,Y,A,A-,3.7
190,8296019,MGT291,202210,Y,B,B,3
