"","Student ID","Gender","First Generation Indicator","Term Code","Cum UG Crs GPA"
"1",8071760,"Male","Not First Generation College Stdnt","202410",NA
"2",8085468,"Male","Not First Generation College Stdnt","202410",NA
"3",8085741,"Male","Not First Generation College Stdnt","202410",NA
"4",8088041,"Male","Not First Generation College Stdnt","202410",NA
"5",8088162,"Male","Not First Generation College Stdnt","202410",NA
"6",8088163,"Male","Not First Generation College Stdnt","202410",NA
"7",8088846,"Male","Not First Generation College Stdnt","202410",NA
"8",8091615,"Female","Not First Generation College Stdnt","202410",NA
"9",8091644,"Female","First Generation College Stdnt","202410",NA
"10",8092370,"Male","First Generation College Stdnt","202410",NA
"11",8093446,"Male","First Generation College Stdnt","202410",NA
"12",8093858,"Male","Not First Generation College Stdnt","202410",NA
"13",8094275,"Male","First Generation College Stdnt","202410",NA
"14",8094689,"Female","Not First Generation College Stdnt","202410",NA
"15",8094793,"Male","Not First Generation College Stdnt","202410",NA
"16",8095052,"Male","Not First Generation College Stdnt","202410",NA
"17",8096247,"Male","Not First Generation College Stdnt","202410",NA
"18",8096785,"Male","Not First Generation College Stdnt","202410",NA
"19",8096961,"Female","Not First Generation College Stdnt","202410",NA
"20",8097103,"Male","Not First Generation College Stdnt","202410",NA
"21",8097337,"Female","Not First Generation College Stdnt","202410",NA
"22",8097617,"Male","Not First Generation College Stdnt","202410",NA
"23",8097917,"Male","Not First Generation College Stdnt","202410",NA
"24",8098459,"Female","First Generation College Stdnt","202410",NA
"25",8098511,"Male","Not First Generation College Stdnt","202410",NA
"26",8098693,"Male","Not First Generation College Stdnt","202410",NA
"27",8098995,"Female","Not First Generation College Stdnt","202410",NA
"28",8099820,"Male","Not First Generation College Stdnt","202410",NA
"29",8100126,"Male","Not First Generation College Stdnt","202410",NA
"30",8100919,"Male","Not First Generation College Stdnt","202410",4
"31",8101123,"Female","Not First Generation College Stdnt","202410",NA
"32",8101143,"Male","Not First Generation College Stdnt","202410",NA
"33",8101424,"Male","Not First Generation College Stdnt","202410",NA
"34",8101439,"Male","Not First Generation College Stdnt","202410",NA
"35",8102014,"Female","Not First Generation College Stdnt","202410",4
"36",8102153,"Male","Not First Generation College Stdnt","202410",NA
"37",8102286,"Male","Not First Generation College Stdnt","202410",NA
"38",8102295,"Male","Not First Generation College Stdnt","202410",NA
"39",8102400,"Male","Not First Generation College Stdnt","202410",NA
"40",8102524,"Male","Not First Generation College Stdnt","202410",NA
"41",8102798,"Male","Not First Generation College Stdnt","202410",NA
"42",8102811,"Male","Not First Generation College Stdnt","202410",NA
"43",8102842,"Male","Not First Generation College Stdnt","202410",NA
"44",8102908,"Female","Not First Generation College Stdnt","202410",NA
"45",8103304,"Female","Not First Generation College Stdnt","202410",NA
"46",8103469,"Female","Not First Generation College Stdnt","202410",NA
"47",8103883,"Female","Not First Generation College Stdnt","202410",NA
"48",8103899,"Male","Not First Generation College Stdnt","202410",NA
"49",8104179,"Male","Not First Generation College Stdnt","202410",NA
"50",8104279,"Male","Not First Generation College Stdnt","202410",NA
"51",8104556,"Male","Not First Generation College Stdnt","202410",NA
"52",8104584,"Male","Not First Generation College Stdnt","202410",NA
"53",8104623,"Male","Not First Generation College Stdnt","202410",NA
"54",8104748,"Male","First Generation College Stdnt","202410",NA
"55",8104842,"Male","Not First Generation College Stdnt","202410",NA
"56",8104880,"Male","Not First Generation College Stdnt","202410",NA
"57",8105202,"Male","Not First Generation College Stdnt","202410",NA
"58",8105588,"Male","Not First Generation College Stdnt","202410",NA
"59",8105593,"Male","Not First Generation College Stdnt","202410",NA
"60",8105742,"Female","Not First Generation College Stdnt","202410",NA
"61",8105892,"Male","Not First Generation College Stdnt","202410",NA
"62",8106266,"Male","Not First Generation College Stdnt","202410",NA
"63",8106663,"Male","Not First Generation College Stdnt","202410",NA
"64",8107035,"Male","Not First Generation College Stdnt","202410",NA
"65",8107364,"Female","Not First Generation College Stdnt","202410",NA
"66",8107437,"Male","Not First Generation College Stdnt","202410",NA
"67",8107639,"Female","Not First Generation College Stdnt","202410",NA
"68",8108201,"Female","Not First Generation College Stdnt","202410",NA
"69",8109038,"Female","First Generation College Stdnt","202410",NA
"70",8109574,"Female","Not First Generation College Stdnt","202410",NA
"71",8110120,"Female","Not First Generation College Stdnt","202410",NA
"72",8110149,"Male","Not First Generation College Stdnt","202410",NA
"73",8110213,"Male","Not First Generation College Stdnt","202410",NA
"74",8110325,"Male","Not First Generation College Stdnt","202410",NA
"75",8111107,"Female","Not First Generation College Stdnt","202410",NA
"76",8111944,"Female","Not First Generation College Stdnt","202410",NA
"77",8112120,"Female","Not First Generation College Stdnt","202410",NA
"78",8112254,"Male","First Generation College Stdnt","202410",NA
"79",8112451,"Female","Not First Generation College Stdnt","202410",NA
"80",8112497,"Male","Not First Generation College Stdnt","202410",NA
"81",8112667,"Male","Not First Generation College Stdnt","202410",NA
"82",8112942,"Male","Not First Generation College Stdnt","202410",NA
"83",8113087,"Male","Not First Generation College Stdnt","202410",NA
"84",8113388,"Male","Not First Generation College Stdnt","202410",NA
"85",8113661,"Male","Not First Generation College Stdnt","202410",NA
"86",8113775,"Female","Not First Generation College Stdnt","202410",NA
"87",8113883,"Male","Not First Generation College Stdnt","202410",NA
"88",8114059,"Female","Not First Generation College Stdnt","202410",NA
"89",8114249,"Female","Not First Generation College Stdnt","202410",NA
"90",8114711,"Female","Not First Generation College Stdnt","202410",NA
"91",8114906,"Male","Not First Generation College Stdnt","202410",NA
"92",8114983,"Male","First Generation College Stdnt","202410",NA
"93",8115221,"Male","Not First Generation College Stdnt","202410",NA
"94",8115233,"Male","Not First Generation College Stdnt","202410",NA
"95",8115239,"Female","Not First Generation College Stdnt","202410",NA
"96",8115369,"Female","Not First Generation College Stdnt","202410",NA
"97",8115502,"Female","First Generation College Stdnt","202410",NA
"98",8115647,"Male","Not First Generation College Stdnt","202410",NA
"99",8116045,"Female","First Generation College Stdnt","202410",NA
"100",8116163,"Male","Not First Generation College Stdnt","202410",NA
"101",8116176,"Male","Not First Generation College Stdnt","202410",NA
"102",8116654,"Female","Not First Generation College Stdnt","202410",NA
"103",8116670,"Female","Not First Generation College Stdnt","202410",NA
"104",8116997,"Male","Not First Generation College Stdnt","202410",NA
"105",8117385,"Female","Not First Generation College Stdnt","202410",NA
"106",8119698,"Female","Not First Generation College Stdnt","202410",NA
"107",8119865,"Female","Not First Generation College Stdnt","202410",NA
"108",8120083,"Male","Not First Generation College Stdnt","202410",NA
"109",8121360,"Male","Not First Generation College Stdnt","202410",NA
"110",8121637,"Male","Not First Generation College Stdnt","202410",NA
