"","Student ID","Cohort Term","Term Code","Enrolled Student Count","Major 1","Major 2","Major 3"
"1",8071760,"202410","202410",1,"BA Major",NA,NA
"2",8085468,"202410","202410",1,"BA Major",NA,NA
"3",8085741,"202410","202410",1,"BA Major",NA,NA
"4",8088041,"202410","202410",1,"BA Major",NA,NA
"5",8088162,"202410","202410",1,"BA Major",NA,NA
"6",8088163,"202410","202410",1,"BA Major",NA,NA
"7",8088846,"202410","202410",1,"BA Major",NA,NA
"8",8091615,"202410","202410",1,"BA Major",NA,NA
"9",8091644,"202410","202410",1,"BA Major",NA,NA
"10",8092370,"202410","202410",1,"BA Major",NA,NA
"11",8093446,"202410","202410",1,"BA Major",NA,NA
"12",8093858,"202410","202410",1,"BA Major",NA,NA
"13",8094275,"202410","202410",1,"BA Major",NA,NA
"14",8094689,"202410","202410",1,"BA Major",NA,NA
"15",8094793,"202410","202410",1,"BA Major",NA,NA
"16",8095052,"202410","202410",1,"BA Major",NA,NA
"17",8096247,"202410","202410",1,"BA Major",NA,NA
"18",8096785,"202410","202410",1,"BA Major",NA,NA
"19",8096961,"202410","202410",1,"BA Major",NA,NA
"20",8097103,"202410","202410",1,"BA Major",NA,NA
"21",8097337,"202410","202410",1,"BA Major",NA,NA
"22",8097617,"202410","202410",1,"BA Major",NA,NA
"23",8097917,"202410","202410",1,"BA Major",NA,NA
"24",8098459,"202410","202410",1,"BA Major",NA,NA
"25",8098511,"202410","202410",1,"BA Major",NA,NA
"26",8098511,"202410","202420",1,"BA Major",NA,NA
"27",8098693,"202410","202410",1,"BA Major",NA,NA
"28",8098995,"202410","202410",1,"BA Major",NA,NA
"29",8099820,"202410","202410",1,"BA Major",NA,NA
"30",8100126,"202410","202410",1,"BA Major",NA,NA
"31",8100919,"202410","202410",1,"BA Major",NA,NA
"32",8100919,"202410","202420",1,"BA Major",NA,NA
"33",8101123,"202410","202410",1,"BA Major",NA,NA
"34",8101143,"202410","202410",1,"BA Major",NA,NA
"35",8101424,"202410","202410",1,"BA Major",NA,NA
"36",8101439,"202410","202410",1,"BA Major",NA,NA
"37",8101439,"202410","202420",1,"BA Major",NA,NA
"38",8102014,"202410","202410",1,"EHS",NA,NA
"39",8102153,"202410","202410",1,"BA Major",NA,NA
"40",8102286,"202410","202410",1,"BA Major",NA,NA
"41",8102295,"202410","202410",1,"BA Major",NA,NA
"42",8102400,"202410","202410",1,"BA Major",NA,NA
"43",8102524,"202410","202410",1,"BA Major",NA,NA
"44",8102798,"202410","202410",1,"BA Major",NA,NA
"45",8102811,"202410","202410",1,"BA Major",NA,NA
"46",8102842,"202410","202410",1,"BA Major",NA,NA
"47",8102908,"202410","202410",1,"BA Major",NA,NA
"48",8103304,"202410","202410",1,"BA Major",NA,NA
"49",8103469,"202410","202410",1,"BA Major",NA,NA
"50",8103883,"202410","202410",1,"BA Major",NA,NA
"51",8103899,"202410","202410",1,"BA Major",NA,NA
"52",8104179,"202410","202410",1,"BA Major",NA,NA
"53",8104279,"202410","202410",1,"BA Major",NA,NA
"54",8104556,"202410","202410",1,"BA Major",NA,NA
"55",8104584,"202410","202410",1,"BA Major",NA,NA
"56",8104623,"202410","202410",1,"BA Major",NA,NA
"57",8104748,"202410","202410",1,"BA Major",NA,NA
"58",8104842,"202410","202410",1,"BA Major",NA,NA
"59",8104880,"202410","202410",1,"BA Major",NA,NA
"60",8105202,"202410","202410",1,"BA Major",NA,NA
"61",8105588,"202410","202410",1,"BA Major",NA,NA
"62",8105593,"202410","202410",1,"BA Major",NA,NA
"63",8105742,"202410","202410",1,"BA Major",NA,NA
"64",8105742,"202410","202420",1,"BA Major",NA,NA
"65",8105892,"202410","202410",1,"BA Major",NA,NA
"66",8105892,"202410","202420",1,"BA Major",NA,NA
"67",8106266,"202410","202410",1,"BA Major",NA,NA
"68",8106663,"202410","202410",1,"BA Major",NA,NA
"69",8107035,"202410","202410",1,"BA Major",NA,NA
"70",8107364,"202410","202410",1,"BA Major",NA,NA
"71",8107437,"202410","202410",1,"BA Major",NA,NA
"72",8107639,"202410","202410",1,"BA Major",NA,NA
"73",8108201,"202410","202410",1,"BA Major",NA,NA
"74",8109038,"202410","202410",1,"BA Major",NA,NA
"75",8109574,"202410","202410",1,"BA Major",NA,NA
"76",8109574,"202410","202420",1,"BA Major",NA,NA
"77",8110120,"202410","202410",1,"BA Major",NA,NA
"78",8110149,"202410","202410",1,"BA Major",NA,NA
"79",8110213,"202410","202410",1,"BA Major",NA,NA
"80",8110325,"202410","202410",1,"BA Major",NA,NA
"81",8111107,"202410","202410",1,"BA Major",NA,NA
"82",8111107,"202410","202420",1,"BA Major",NA,NA
"83",8111944,"202410","202410",1,"BA Major",NA,NA
"84",8112120,"202410","202410",1,"BA Major",NA,NA
"85",8112120,"202410","202420",1,"BA Major",NA,NA
"86",8112254,"202410","202410",1,"BA Major",NA,NA
"87",8112451,"202410","202410",1,"BA Major",NA,NA
"88",8112497,"202410","202410",1,"BA Major",NA,NA
"89",8112497,"202410","202420",1,"BA Major",NA,NA
"90",8112667,"202410","202410",1,"BA Major",NA,NA
"91",8112942,"202410","202410",1,"BA Major",NA,NA
"92",8112942,"202410","202420",1,"BA Major",NA,NA
